Issue Type, Issue ID, Parent, Summary, Assignee, Reporter,  Description, Priority, Project Name, Project Key, Project Type
Epic, 1, , "An EPIC Epic", cabletown@ss4sp.com, cabletown@ss4sp.com, "This Epic houses work for the New Customer flow.", , Marketing UI, MUI, software
Story, 2, , "Test Story about the New Customer Header", , cabletown@ss4sp.com, "Let's add a green arrow to the hero component!", , Marketing UI, MUI, software
Sub-task, 3, 2, "Layout for New Customer Header", , cabletown@ss4sp.com, "Find a good arrow SVG", , Marketing UI, MUI, software
Sub-task, 4, 2, "a11y for New Customer Header", , cabletown@ss4sp.com, "Optimize SVG For Best Performance", , Marketing UI, MUI, software
Sub-task, 5, 2, "Styles for New Customer Header", , cabletown@ss4sp.com, "Adjust SVG Gradient", , Marketing UI, MUI, software
Bug, 6, 2, "Header is blank", , cabletown@ss4sp.com, "uh oh, the green arrow is purple!", , Marketing UI, MUI, software
Bug, 7, 2, "Existing Customer sees blank New Customer header", , cabletown@ss4sp.com, "uh oh, the green arrow is purple!", , Marketing UI, MUI, software
Bug, 8, 2, "Header is orange but specs are blue", , cabletown@ss4sp.com, "uh oh, the green arrow is purple!", , Marketing UI, MUI, software
Story, 9, , "Test Story for new Sub Header", , cabletown@ss4sp.com, "Let's add a green arrow to the hero component!", , Marketing UI, MUI, software
Sub-task, 10, 9, "Task 1 will enable sub header for new customer", , cabletown@ss4sp.com, "Find a good arrow SVG", , Marketing UI, MUI, software
Sub-task, 11, 9, "Task 2 will add brand colors", , cabletown@ss4sp.com, "Find a good arrow SVG", , Marketing UI, MUI, software
Sub-task, 12, 9, "Task 3 will enable success logs", , cabletown@ss4sp.com, "Find a good arrow SVG", , Marketing UI, MUI, software
